score,content
2,"semakin banyak potongan mandiri ,dan sebagian tidak ada keterangan pemotongan...biasa setiap akhir bulan ada 3 kali pemotongan,sekarang 11 Januari 2026 dipotong 3.500 tanpa ada keterangan dan gak ada transfer atau melakukan transaksi lain,makin gak jelas aja...kali berapa juta orang make mandiri di biaya pemotongannya berkali kali...gak jelas udah ini bank."
1,bank kok sering maintenance
4,"saya baru mau download dan baru pertama kali coba,semoga bagus aplikasinya,saya kasih bintang 4 dulu,kalau bagus saya kasih 5 bintang"
5,good job
3,"livin ribet kebanyakan bermasalah, susah orang kalau perlu di tengah malam selalu ada kendala, Ga rekomend pake livin"
5,"menyusakan nasabah soal verifikasi apalagi di ferivikasi wajahnya, gk di jelas kan apa harus wajah sendiri atau wajah orang bisa atau tidak, buruk burik pn tk"
5,mantap
1,"cape bgttt login aja dipersulit,"
1,kenapa tidak bisa dibuka
1,Napa kgk bisa TF dana min?
5,sangat puas dgn aplikasi livin mandiri
5,mau yang terbaru..
1,aplikasi tidak terbuka terus kenapa
4,"kenapa sii kalau nerima transfer suka tertunda, ga masuk2? gaje dahh alasannya apa coba kaya gitu?"
3,ini kenapa Livin saya dari kemarin gak bisa d buka masa gangguan lebih dari 24jam
5,good
5,terbaik
2,apalah baru buat langsung suruh hubungi call center gara² abis daftar di apk trs buat pin sandi apk selesai suruh masukin pin lagi disini gk ada tulisan pin apa yg di maksut pin sandi apk yg baru ku buat atau pin kartu atm nya alhasil yah ke suspend akun gw huhu
1,sangat amat buruk tidak bisa log in
1,rada aneh byar PDAM kadang bisa kdang gk. gk konsisten
3,punyak saya livinnya gak bisa di buka padahal sudah terbaru
3,instrumen investasi nya tambah dong
1,kecewa berat pokoknya tolong diperbaiki aplikasinya pas mau daftar disuruh buat pasword terus sampai terblokir kartunya udah cabangnya jauh jauh juga dari tempat saya
5,bagaimana cara untuk meningkatkan efektifitas
1,punya ku gak bisa login layanan tidak tersedia udah cek tutor yutube gak ada solusi punya aplikasi gak ada perbaikan huhuhuhu padahal banyak yg ngeluh
2,"mengecewakan, saya mendaftar Livin by mandiri udh hampir seminggu tapi tetap di layar tertulis ""ups, rekening belom tersedia"" padahal daftarnya ke pusat cabang bank mandiri, di suruh nunggu sampe jam 6 sore pasti bakal bisa, eh ini udh mau seminggu tetap gitu"" aja tolong di perbaiki, jadi kewalahan kalo mau ke kantor cabang nya lagi, jauhnya jauh banget nempuh waktu 2-3 jam"
5,bagus dan enak buat transaksi dan tabungan
5,"bp, ibu yang terhormat, saya pengguna livin, livin saya ko tranfer pulsa paling kecil menjadi 30Rb, ga nominal 5Rb kan lebih irin untuk berbagi? mohon di pertimbangkan kebijakannya, terimakasih."
3,mau buat Livin aja aplikasinya balik ke kata sandi terus nggak mau ada berubahnya
1,"Beberapa kali menemui aplikasi tidak bisa digunaakan pada saat penting dan segera dibutuhkan, dengan keterangan ""Belum berhasil terhubung""."
5,The best👍💯
1,tolong perbaiki masa iya verivikasi wajah Ampe seminggu ga bisa lewat
1,"gajelas pembayaran tidak berhasil mulu dari semalam, perbaiki lagi lah"
3,daftarnya ribet
5,ok
1,"maaf bintang 1 apk terlalu ribet beda sama apk bank lainnya, udah 3 bulan ga bisa di buka"
5,bukaliving dhp yang baru masa tdk bisa bos
1,kenapa saya tidak bisa loging
5,transaksi lebih mudah tinggal sat set aku pakai sudah 6 tahun tidak ada kendala pokoknya mantul
5,ia saya pribadi sangat membantu dengan adanya bentuk cicilan di aplikasi Bank Mandiri.hanya ahir 2 ini saya mengalami krisis keuangan sehingga terhambat pembayaran..
1,Lbh banyak erornya drpd bs dipakainya. Gausah updet2an kl mlh bikin eror system.pasti tiap mlm eror tiap hari. Gajelas
1,"kebanyakan pemeliharaan,ganggu aktivitas"
1,"ribet apk nya, bukan nya di permudah malah di persulit & fitur banyak kurang"
3,"knapa aku mau top up (dana) gk bisa ya? nomer tidak di temukan mulu, sdangkan dulu bisa. tolong dong di perbaiki, apa iya karna nomer hp aku hanya 11. tpi dulu bisa kok, kan depannya anka dri dana nya"
1,buka akun Livin tiba2 suruh hubungin mandiri
5,cepat
5,kenapa selalu g bisa KLO TF ke bank BCA ..
1,apk sampah
1,mengapa saat privikasi wajah tidak bisa .. mohon bantuannya
5,Sangat puas dan nyaman 👍👍👍👍👍👍
1,susah login nya kenapa pake no kartu segala cukup email dan kata sandi aja cukup harusnya ribed.
2,customer servisnya slow respon bnget
2,"kesel bgt, ko livin makin kesini makin ga jelas. masa mau bayar tagihan kena admin 3000 pdhl tagihan cuma 25k? ga ngotak banget admin nya"
3,"Maaf cuma bisa kasih 3.masih sering lelet,,"
5,bagus sangat membantu
1,susah banget loginnya ga ke buka buka
5,lebih mmbantu
5,sangat bagus
3,"tdinya sih aku bangga punya my mandiri, tdi barusan mau tarik tunai ehh saldo kepotong tapi uang nya ga muncul di atm. mau komplain call center nya kaga respon, sangat kecewa ya allah, uang nya ilang saldonya kepotong, sakit banget capeekkkk"
5,bagus
5,sangat membantu
5,ok
1,"saya tidak dapat login payah, livin aja yang for close, aplikasi yang lain bisa, saya kira update saya cek ke PlayStore tidak ada tulisan update aneh sekali"
1,"aplikasi lemot, mau masuk ajah setengah modar, di tambah registrasi ulang, sy kecewa"
1,"aplikasi oke, layanan cukup oke tapi bintang 1 untuk minimal saldonya, untuk user baru yang mau coba transaksi valas ini lumayan berat yh buat saya pasti belajar dulu. coba tukar valas ke SGD oke berhasil, dari SGD ke IDR gak bisa d tukar lagi -_- karna minimal saldo, yh karena masih trial error cara pakai apps"
1,sekarang ku ganti bintang 2 lemott bgt bgt terus suruh update mulu paan dahh ga bgt (tadinya bintang 2 jadi bintang 1 update mulu lemot lgii)
1,kenapa sih livin'kok sekarang byar tagihan dll ada biaya admin nya..untuk tagihan va aja udah seharga biaya tf fast lo adminnya..jd gak nyaman banget skrg pake mandiri..pdahal dr apk lain kita belanja udh ada biaya adimin layanan dll giliran byar pake mandiri kena lagi admin jdi double kill🥲padahal mbanking yg lainnya masih free entah top up byar va dan tagihan..please lah jgan kebanyakan admin biar tetap nyaman pakenya
2,kenapa gak bisa update aplikasinya
1,"update mulu,tapi ga ada perubahan fitur nya"
5,sangat bagus
5,kok setiap saya buka livin nya gk bisa2 yah kaya memuat memuat terus klo gk pake finger print gak bisa buka..itu karna apa
1,kebanyakan ganguan trus
5,"Livin mandiri the best,,,semoga semakin di depan,,,diatas ,,dipuncakk,,,,ok gasspoll..."
2,"mandiri call 14000 itu harusnya bebas pulsa lah, masa bayar.. itupun ngeri ngisap pulsanya kayak dracula.. seperti merampok"
5,sangat bagus
5,Mantap
1,"livin saya udh 2 akun ga bisa2 login, udh lama berbulan2 udh 3 cabang saya lapor, udh telfon 14000 tetap ga ada solusi. uang saya di rekening aman. tp anehnya masuk ke livin pake kartu debit ga bisa2."
1,TIBA TIBA GA BISA DI BUKA? ANEH
5,Mantaaaaaaap
4,"tolong perbaikan pendaftaran masih ada kendala, saya tidak dapat masuk kembali ke aplikasi dihenphone yg baru karena kode otp selalu tertolak."
1,pakai sudah 1 tahun selama ini ga ada masalah tapi kenapa malam ini ga bisa log in dan harus pakai ATM kenapa update malah nyusahin update bikin mudah bukan bikin susah sumpah kecewa banget
1,TOLONG DI PERBAIKI LAGI APLIKASI INI SERING TERJADI GANGGU
1,terlalu banyak maintenance
5,mantap
1,sering gangguan terutama klo tengah malam ini sangat mengganggu dan kurang efisien saat penggunaan di di beberapa waktu klo emang maintenance kenapa harus setiap hari di waktu malam harusnya 1 bulan 1 x di tgl sekian misalnya klo malam2 mau bayar cashless jelas sulit untuk melakukan pembayaran saya sangat kecewa terhadap kebijakan ini soalnya mbanking lain ga ada yg kaya gini cuman licin yang bermasalah di jam malam terutama jam 10 sampai jam 1 malam ini benar-benar menyulitkan customer
1,kebanyakan maintenance
1,jangan pernah menabung di bank ini kalau niat mau menabung karna setiap bulan nya ada potongan Rp.17.500 mencakup Rp.12.500 untuk administrasi ±Rp.5.000 buat biaya kartu debit
1,"aplikasi saya ga bisa dibuka ini livin, cemna caranya inii"
3,penanganan pegaduan lambat sekali....
5,sangat membantu
5,Saya tidak bisa login ke aplikasi livin bay mandiri
5,mantap
1,kenapa di menu gopay customer sudah otomatis ada nomor sih. saya jadi salh kirim dikira memang nomor tujuan saya ternyata nomor otomatis. saran kosong kan saha nomor yang tertera di menu gopay customer
5,bagus
1,"punya buku tabungan, punya kartu ehh mau login ga bisa, repot banget harus ke kantor cabang, apa gunanya buat aplikasi kalau mau login aja susah nya setengah mati hadehhh"
5,Sangat Membantu
5,saya kenapa gak bisa transfer ya
5,sangat memuaskan
5,aplikasi nya mantaf
1,"Barusan saya buka rekening melalui aplikasi ini, setelah saya coba masuk kok susah amat ya, aplikasi menyusahkan orang ini namanya, hanya ada 2 pilihan suruh pilih belum punya rekening mandiri, punya kartu debit/kredit mandiri, jika pilih punya kartu debit/kredit malah di suruh masukkan 16 angka nomor, sedangkan nomor rekening saya hanya 13 angka, aplikasi ini sangat menyusahkan pengguna baru"
1,"sudah 4 hari daftar Livin ga bisa²,notif nya layanan sedang tidak tersedia.astaga BUMN maintenance nya lambat sekali"
1,sumpah gila...awal buka livin by online gratis tanpa dana mengendap..setelah itu beberala bulan pakai ada dana mengendap 20.000 lha sekarang di awal tahun ini sisa saldo 20.000 saya top up 80.000 saldo 100.000 saya buat top up emoney 79.000 sama sekali gg bisa top up tofak berhasil..dan tlfon cs dana mengendap 25.000 kok aneh banget ya...bangkek
5,aman
5,kenapa saya tidak bisa verifikasi wajah.. selalu tidak ada koneksi padahal paket datanya ada
1,iklan nabung saham di aplikasi growindi mobile banking menjebak nasabah untuk mendaftar. hilangkan itu.
2,mengapa sulit bikin akun livin nya. nggak perlu ada aplikasi kalau solusinya harus ke kantor nya...
5,mantap
1,"seumur hidup gak pernah gw bisa login pake nih apk. udh 2x ganti kartu juga. kalo kesalahannya dari pusat, ya gak usah di blokir 24 jam lah. Gua gak pernah ada kesalahan masukin digit, tau² suruh nunggu besok biar login. gitu aja terus sampe kiamat"
1,"bank paling buruk yg pernah gw pake, masa iyaa saldo rekening cuma 1 bulan kosong, rekening langsung ditutup, sementara ada uang masuk, malah disuruh pihak transfer yg ngurus ke bank, pokoknya kocak lah ni bank, intinya bilang aja mau makan uang nasabah udah."
5,Ingin bergabung dengan Living mandiri
5,Saya ingin cepat di aplikasi & akun livin by mandiri tlong upgrade semua total sistem fitur keamanan & proteksi spam scam pishing link kejahatan siber super ai yg super canggih banget agr tdk mudah dbobol oleh hacker/hacking tmpilan dark/black platinum luar dlm mnjdi gagah & modern sama fitur livin notifikasi suara super cerdas + teks otomatis transaksi penuh real time menyebutakan nominal uang degn suara khas livin by mandiri tanpa harus mengatur limit transaksiny dgn suara khas livin by mandir
5,bagus
5,sangat membantu sekali
5,"pelayanan ramah, aplikasi sangat canggih"
5,livin saya ko nda bisa ya selalu fitur tdk tersedia
5,sangat mudah cara pakainya
2,kenapa livin saya diblokir
5,sangat bermanfaat
5,aplikasi yg sangat membantu dan memudahkan transaksi
1,data pribadi kesebar ke bagian kredit kartu hati hati yang mau make mandiri
5,"aku kehilangan kartu ATM mandiri,jika ingin mengurus nya lagi apakah dikenakan biaya?"
3,saya daptar Livin dri aplikasi setiap pengiriman otp no otp kadaluarsa terus padahal otomatis masuk nya jga aneh jadi saya tidak bisa daptar jadi gimna ini min
1,gak perlu mesti sering di upgrade..!!!
3,gimana ini ga bisaaa di buka update terusss
4,sangat cocok untuk bayar
1,kenapa saldo saya berkurang secara tiba tiba padahal tidak ada transaksi apapun potongan bulanan sudah terbayarkan tetapi mengapa saldo saya berkurang
1,"Tolong perbaikin lagi untuk masalah transaksinya min, kadang di jam-jam tertentu selalu eror dan transaksi gagal terus. Bukan hanya di masalah aplikasinya, tapi saat mau tarik tunai di ATM pun selalu eror dan transaksi gagal."
1,kenapa sering x ngk bisa di gunakan untuk byr qris dan top up dana klu udh jam 23.00
5,"tolong livin saya tidak bisa di akses sudah beberapa hari tidak bisa loging, sya uninstal daftar lgi ttap ngk bisa tlong kbijakan"
3,"min menurut ku perbaiki lagi dong ke aman Login masuk ke kartu debit ny lewat livin. kartu debit saya hilang ga lama kemudian Livin ny udh di ambil ahli kata sandi ny udh di ganti , terus saya coba login lagi karena saya masih ingat no kartu debit ny setelah berhasil , nah di situ kan suruh masukin tnggl lahir. nah saya masukin lh sesuai KTP saya malah ga bisa , jdi intinya percuma dog min kita buat pkek KTP tapi format data bisa di ubah. jujur min Masi aman BANK seblah untk keamanan loginy"
3,mengapa slalu bermasalah kalau toup ke dana ea???
2,tidak ada fitur ksm
5,mntappp
3,"kadang ngelag, harus masukin nomor kartu trs"
1,sya suka aplikasii nya makanya kuberi 5 bintang
5,okeh bgt
5,aplikasinya bagus banget saya sangat suka...🙏🙏😍😍
5,Cukup bagus 👍👍👍👍👍
1,Aplikasi yg merugikan. Mau top up dana malah terkirim ke pulsa..padahal sudah jelas² TOP UP DANA
4,"kenapa tidak bisa login dengan biometrik yaa.. sebelum nya tidak pernah ada kendala login dengan biometrik.. tapi akhir akhir ini sering ada kendala.. padahal saya sudah bersihkan tombol biometrik nya, tangan sdh saya bersihkan jg. TPI tetap saja tidak bisa."
1,ngak jelas nih aplikasi..BKIN riweh aja orang mau transaksi malah ngak bisa d buka gmna coba
2,"saya gk bisa masuk di akun saya padahal sblmnya bisa masuk.,ini tibah"" gk bisa.,saya udah punya no rekening kecewa saya. uang ku ada di dalam 1jt"
5,sangat membantu
5,bagus
3,livin mandiri 😭😭 KTP Saldo Rp 10000 tidak 😭😭 kak 500 e wallet dana saldo Rp tidak 😭 😭😭 aplikasi mandiri Bank 🙏 saldo tidak 😭😭 saldo 30000 tidak 😭😭
1,"Saya kecewa sama pelayanan bank mandiri cabang Kosambi Karawang. Saya niatnya mau ngurusin akun livin ke bank terdekat, tapi pelayanannya lelet dan ga guna. Saya tau rekening saya emang dari cabang jakarta karena memang rekening itu dibuat oleh perusahaan tempat saya kerja dulu. Jujur saya melakukan pengaktifan livin sudah dua kali ke cabang Kosambi dan dulu sebelum bank mandiri di bawah danantara masih bisa langsung aktifin aplikasi livin langsung di kantor cabang. Jadi males pake livin."
2,buat origin OS 6 ga support
5,sangat bermanfaat sekali
5,memberi kemudahan
5,sangat bagus
1,"tolong livin mandiri, segera punya layanan seperti halo bca yang setiap waktu bisa diperlukan saat genting. tidak perlu jalan ke kantor, bagaimana ada kendala diluar waktu kerja? kita nunggu lagi hari esoknya. ayolah sekarang semua secara digital call center 14000 itu tidak berguna, jaman sekarang biaya telpon itu mahal berengsekkkk!"
5,sangat bermanfaat
5,Good
5,apa lgi eror yaa sistem nya..dri kmrn keluar sendri ga bsa d buka
5,sejauh ini ini yang lengkap
5,pelayanan bagus dan cepat
1,UDAH MAH ADM GEDE TRS PIN UDAH BENER TB TB KE BLOKIR DAN SAMPE SKRG GABISA KEPAKE JARINGAN EROR TRS LOGIN LAMA MAKIN MAKIN DEH !!!!!
5,mantap
5,Semua transaksi enak pakai livin mandiri semua jadi mudah..
3,mau coba restart hp sebab dari kemarin blm bisa diakses Livin mandiri app
1,dikit-dikit ganti sandi
5,Bos munculin ksm donk🤣🤣👍
1,"ini kenapaaa lagi Livin parah bener ga bisa login sistem operasi handphone anda tidak mendukung apa sih hp baru beli, rusak mending kita semua pindah bank lah rusak kek gini aplikasi , brimo , BCA BNI ga ada tuh ada notif sampah kek gitu"
1,"aplikasi buruk tidak bisa mengirim uang, ngestuck stiap mau transfer nominal 50 tidak pernah bisa"
1,gk bisa login.. muncul terus layanan tidak tersedia..
5,"dengan adanya livin by mandiri, saya jadi lebih muda buat tranfer dan isi pulsa"
5,good
5,sebenernya lebih enak si ada apk livin ini jadi gk harus bulak balik ke bank
1,jangan pkai Livin . kalau darurat di tengah malam gak bisa TF .
1,saldo menghilang dengan sendirinya
1,ini kenapa di poco x7 pro enggak bisa login livin ya ?? tolong di fix secepatnya
3,yui
5,banyak ganggun aplikasi susah di buka pokoknya bikin jengkel. tp setelah saya ganti hp lancar ok bagus
4,"Kalo pemeliharaan kurangi lah waktunya, sering bgt mau pembayaran sedang pemeliharaan :v"
1,"tiba2 log out sendiri, minta input ulang no kartu, terus no kartu mandiri saya valid thru nya ga bisa kebaca karena tulisannya udah ilang kehapus. Saya punya lebih dari 1 kartu debit bank lain, diantara bank2 lain mulai dari BNI, BJB, Bank Jago, BSI, ternyata saya baru sadar yang no kartu dan valid thru yang gampang kehapus cuma Bank Mandiri doang, kualitasnya harus dipertanyakan nih"
4,Alhamdulillah
5,"duku saya pernah punya rekening mandiri cuman udah lama , apakah bisa daftar baru lagi ? lewat livinby mandiri lagi?"
5,perasaan biasa aja pake livin. Kok banyak jg yg ngeluh ya
1,kenapa kalok nyimpen duet selalu di potong sama BNK mandiri tolong jangan di potong uang yg udah di simpan aplikasih ny sunggu kecewa banget ini
5,mantul
1,"uninstall dan restarted bolak-balik tetep aja, tolong segera diperbaiki....Susah transaksi kalo begini"
5,ada aplikasi by mandiri sangat membantu
1,uang Inves hilang
1,lelet transfer luar negri masak nunggu sampai 2 Minggu padahal uang di butuhkan bank lelet
4,good
1,verifikasi wajah gagal terus
5,suka
5,"keluhan gw , ga bisa tf, udah 2 hari gw coba ttp gagal gak bisa, smpe hbis uang gw d i makan pajak haha"
3,apakah ada yg pernah ngalamin apk ini nge bug?
1,aplikasi kurang hajar. password dibilang salah akhirnya terblokir. disuruh buat baru setelah verifikasi dibilang password tidak boleh sama dengan yang lama. lah kenapa pas tadi dimasukkan dibilang salah. malah ga bisa pake simbol untuk password harus angka sama huruf aja
5,usefull
5,baguss aman
5,🌟🌟🌟🌟🌟apk bagus cuma fitur pinjaman blm terbuka tolong seting dong 🙏🙏
1,"benar"" di persulit hadeh"
1,"ga bisa daftar, maintaince terus"
5,aku kasih bintang 5
5,mudah digunakan sesuai kebutuhan
1,aplikasi bodoh setiap melakukan pembayaran ga berhasil tapi kalo isi saldo berhasil rugi doang gua isi daldo
2,"saya udah daftar, tapi kenapa pas saya mau lagin kembali disuruh daftar lagi, dan tidak ada simpanan loginya, ini gimana maksudnya?"
1,"saya kecewa setelah download Livin ingin biar praktis tetapi tidak bisa di gunakan sangat kecewa banget,kan biasanya download ngisi data ,lah ini baru menyetujui kebijakan privasi aplikasi dah di tolak aja harus ke cs Mals Jadinya mau pakail Livin"
5,aplikasi sangat mudah dipahami
3,Sy sudah menyelesaikan smua persyaratan2 untuk mmbuat kartu.. Tapiiiii pas di suruh memasukan nomr Perusaha.an di situ sy tidak bisa Melanjutkan. Padahal sy sudah memakai Kode Telpon contoh 0251.. +62... dsb. Yg sy mau tanyakan Kode yg mana untuk Daerah Bogor Barat yg anda Butuhkan..?? Skrg kan sudah hampir tidak ada org yg menggunakan nomor telpon rumah. Mohon Penjelasan y..kak 🙏🏼
5,👍bagus
5,bagus
1,selalu harus masukin sandi baru kalok mau masuk bukan karna lupa tiba2 keluar terus pas masukin sandi gk bisa masuk
2,"Tidak bisa buat akun, selalu diminta buat sandi baru. Sudah dibuat, masih juga gagal"
5,ok mantap
5,mantap
1,"Saya sudah menghapus apl yang tidak resmi,dan hp saya tidak di root sama sekali,mengapa tidak bisa masuk ke menu pendaftaran? apk ini mendeteksi hp saya tidak resmi padahal belum pernah saya utak atik!!!!"
5,mau saran nih di menuh bayar va gk usah pakek milih penyedia layanan kan bisa kayak bang lain bikin ribet aja gk efisien di tunggu updatenya
3,jengkelin
5,ok
1,buka growin jadi lambat belakangan ini
1,"Sampah, makin hari login sekuritas gk bisa, lemot, giliran bisa malah nggak nampil pergerakan, tinggal tnggu waktu mau pindah Bibit aja atau sekuritas lain, sampah banget MANDIRI sekuritas sekarang"
2,"perbaikin sistem mandiri sekuritas, LEMOTTTT SUSAH MASUK PADAHAL PAKAI WIFI"
3,"mandiri sekuritas jika pagi lemot, gag bisa masuk"
3,kalo buat buka akun sekuritas di jam 10 lelet bgt
5,"Aplikasi bagus, tapi Growin yang di dalam Livin suka mendadak susah diakses"
1,"masuk ke grown knpa tidak bisa ini. jam 9.05 pasti gak bisa masuk ke grown klw udh jam segini, jam 10 baru bisa masuk. sudah telat lah. DAMN!! pakek Wifi ataupun data seluler juga gak bisa. TOLONG DI FIX. merugikan saya ini. Saya pkek livin krn aplikasi grown tidak bisa, ini juga tidak bisa pkek livin. jangan sampai pindah sekuritas!"
4,udah bagus tapi kalau boleh saran buat pembayaran va itu jangan pakek pilih penyedia layanan itu memper lama sama ribet dan jugak kalau pemeliharaan sistem jgn lama2 masak kalah sama bang sebelah
2,"knp pas mau transaksi applikasi nya error,ga bisa login lgi. suruh ke bank lgi bikin males"
1,aplikasi membingungkan..... Mw login ulang ribet sekali....menjengkelkan
4,"mohon untuk bantuan dan solusinya ya, klu misal kita brada di luar negara, misal nomer telpon yg kita gunakan terkena blok/spam gimana solusinya agar bisa masuk ekaun kembali,mohon bantuannya🙏🙏"
5,sangat membantu
1,"diam pun dikenakan biaya administrasi 3x sebulan, KOCAK!!"
2,terus terang sy kecewa dgn aplikasi ini bukan mudah malah mempersulit. kok bisa resi untuk transaksi otomatisnya tdk bisa tercetak. padahal di setelment ada bukti dana tertranfer ke rekening lain
1,"gajelas, login dipersulit"
5,semoga degn mandiri rejeki menjadi banyak dan berkah
2,"kapan apk ini pulih kembali ,dan bisa di gunakan sudah lama ,perbaikan layanan terus"
5,tolong dong mandiri kalau jam jam pagi subuh susah banget buat transfer di perbaiki lagi sistem ya
2,pas lagi urgent keluarga masuk Rumah sakit jam 1 malem mau tf eh malah pemiliharaan... sudah beberapa kali kalau lagi urgent.
3,bagus
1,banyak iklan tapi setiap transaksi ada biaya adminnya. blm lagi bulanan nya jadi gede!!!
1,"banyak fiturnya yg bagus, jelek nya cm kita klo kepepet mau gunain di jam 11 malam. aplikasi tdk bsa login, setiap hari perbaikan,. orang lg butuh transaksi cepet malah sangat terganggu., penilaian gw, 1 bintang"
1,apl konto
5,kinerja cepet gk ribet
2,ribet mau transfer ke dana kadang bisa kadang engga
1,kenapa kok layanan tidak tersedia ya
5,sukses bersama lLivin
1,lagi eror kah?
1,"saya sih berusaha nyaman dengan aplikasi ini, tapi apalah daya kenyataannya berbeda. Jaringan data aman, handphone masih aman, mau bayar litrik aman tapi kenapa pas mau transfer ke DANA selalu dipersulit...??? ayo lah admin perbaiki sistem ini!!! seolah-olah saya mengemis loh mau transfer itu, susahnya minta ampun..."
5,aplikasi Bagus
5,dengan menggunakan aplikasi ini dapat membantu untuk transaksi kapan dan dimana saja
5,sangat. bagus
5,👍
1,hapus saja fitur transfer by SKN. transfer ke bank jatim sudah 14 hari blm masuk juga ke rekening penerima.
1,"kepada: yth : Mandiri dengan ini saya menyatakan : utang udah lunas,kenapa masih di tagih,kalau utang udah lunas,jangan di tagih,malu Sama nama mandiri,,, jangan sampai 7 keturunan,1 kluarga sial seumur hidup,,, terima kasihh"
1,aplikasinya elor gimana sih bolak-balik mulu ngak selesai saya membuat buku rekeningnya.. saya kasih bintang satu dulu jika bisa ngak ada kendala lagi saya kasih bintang lima... tolong perbaiki aplikasinya
3,kok error ya??
5,bagus
3,"sbnernya apk perbankanya bagus,cuma sayang transaksi pembayaran,top up e-wallet ada biayanya.tidak seperti bank lainya tanpa fee kecuali tranfer ke bank lain."
5,bagus dan mudah aplikasinya
1,livin sering eror..
5,mantap
5,Aplikasi lancar dan membantu dalam pembayaran pendidikan
1,"baru juga make 3bulan,, udah gak bisa di buka aplikasi nya,,"
5,sgt bgusì
1,transfer ke e-wallet lama banget udah tertunda sampe 5 hari kecewa banget si nyesel pake livin
2,"jadi gini, aku kan mau transfer ke bank pertama untuk top up ga banyak sih.. aku ngoba pakai metode transfer atau qris tetap gagal. itu apanya yang salah astagaa?!! udah 5 kali lho aku transfer gagal terus"
1,saya baru daftar onlen ini suruh ganti password saya tidak punya no kartu bagaimana ini penjelasan
1,"ni aplikasi gaada perubahan, sering fiturnya banyak yg tiba2 gabisa digunain"
1,Lambat gak guna
1,"pelayanannya kurang menyenangkan perihal keterlambata cicilan 1 hari dari.pihak penelpon , di sebabkan lupa."
5,sangat mmbantu😘
2,susah di akses di sistem android 15
1,tidak bisa buka aplikasi
1,"permisi saya tidak bisa login karena verifikasi wajah tidak lulus terus, akhirnya sampai sekarang tidak bisa login"
5,kenapa akun saya di apikasi livin mandiri di blokir di apikasi livin mandiri
1,"apknya udah setahun lebih saya pake kalo jam 12 malam ke atas ga bisa di gunakan top up pulsa, ga bisa di saat genting ahhh ngeselin bangett"
1,"Lola, Selalu gangguan di tengah malam, Qris tidak bebas"
1,tolong di waktu malam antara jam 1 malam transaksi jangan di batasi. sungguh tidak menyenangkan sama sekali di saat butuh!
5,bagus
5,"Good job, terimakasih Bank Mandiri"
3,"sering eror, apa lagi kalo malem' pas butuh malah eror"
1,pemeliharaan aplikasi di waktu ada transaksi urgent duh gabisa dipake ngapa ngapain sangat merugikan karena sumua dana di satu bank ini saja. saran saya untuk pengguna lain jangan taruh semua dana di mandiri ini lebih baik buka rekening bank lain agar tidak mengalami hal serupa
1,apk muter2 ajah dah 3 hari ga bisa dibuka suee
1,"ini gimana mau ganti fasword malah di minta nomer fisik,kan saya belum bikin ,cuma mbm ,mau masuk ke menu awal gak bisa,lantas gimana mbm saya gak bisa di pake,"
5,mantap
5,ok
5,sangat mudah
1,masih tidak bisa di akses
1,"tolong dong stop nyuruh pegawai kalian buat minta orang random di jalan bikin akun mbanking, risih 😭😭😭 takut penipuan"
5,ok
1,kenapa qo saat verification qo loading nya Lama Dan gak kesambung juga
5,sangat baik
5,"mantap,"
1,"aneh banget mau buat atm mandiri aja susah setelah foto e-ktp dan mengisi data terus pencet lanjutkan dan muncul tulisan registrasi berhasil, kembali lagi ke beranda"
1,"Ko saya buat kartu lama sekali lewat aplikasi padahal sudah saya foto ktp, ko terhubung terus padahal ktp sudah ok"
3,😭😭😭kenapa verifikasi nya harus ke ATM mandiri juga ka ini loh cuma mau balikin livin aja susah karna HP keresat harus ke ATM juga kah? 😔 capecapein aja ka cuma mau login aja loh balikin gk fitur daftar yang ada kartunya kaya dulu🫵plis ya 🥺cuma mau login aj susah harus banget ke bank nya dulu🫨😩😭
3,sinyal tiba tiba drop setiap buka aplikasi ini. gagal terus jadinya
1,aplikasi ga jelas Saldo yg ada ga bisa di pindah
1,"setelah isi saldo, apk tidak bisa di buka hanya tertulis Password salah,"
1,"Gak kurang banyak kah biaya transaksi 5000 itu , Gak lama kabur nasabah LIVIN ini. 1000/2000 masih wajar lah"
2,"ini gimana si biaya admin kartu sampe narik uang sampe 6 kali gila yaaa, sampe 30.000 ribu, parahhh bgt sii"
5,#jadi mudah segala urusan#
5,"cepat, lancar"
5,terbaik anti ribet ⭐⭐⭐⭐⭐
1,"Terkait error RPT-02 saya harap pihak terkait lebih memperhatikan masalah ini, karena hanya livin by mandiri ini yg seribet ini dan memakan waktu lama. Sya pnya beberapa Mobile Banking di hp termasuk Livin by mandiri ini tpi dari semua aplikasi M-banking cma livin yg sering kena RPT-02 yg lain aman2 saja"
1,"gak lagi2 deh pakai apk ini. tf QR sering tertunda, pdhal saldo livin udh trpotong, tp saldo yg di tf gak bertambah... dan ujung2nya gak ada tanggung jawabnya sama skali... KAPOOKKK!!!!!"
5,mantap aplikasi nya
5,sayangnya sudah tidak dapa melakukan topup KSM di aplikasi livin.
1,susah amat cuma mau bikin m-bank-ing nya
2,terkait kode RPT 02 kenapa prosesnya lama skali.. udah bolak balik ke bank tapi gak ada hasilnya. ujungnya hanya di suruh menunggu atau gak di suruh kembali besok..
4,kok setiap mau daftar Livin slalu gagal mohon penjelasannya dong
5,sangat membantu masyarakat menggunakan aplikasi livin'bu Mandri sangat bagus
